# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	39687	39968	-	EPJJIE_000078	-	-	-	-	-	-
contig_1	cds	40241	41098	-	EPJJIE_000079	238.0	2.8e-75	0.968	0.834	0.554	UniRef:UniRef50_F7LQG6
contig_1	cds	41159	41671	-	EPJJIE_000080	-	-	-	-	-	-
contig_1	cds	41795	42139	-	EPJJIE_000081	-	-	-	-	-	-
contig_1	cds	42181	42366	-	EPJJIE_000082	-	-	-	-	-	-
contig_1	cds	42381	42590	-	EPJJIE_000083	-	-	-	-	-	-
contig_1	cds	42596	42913	-	EPJJIE_000084	-	-	-	-	-	-
contig_1	cds	42852	43085	-	EPJJIE_000085	-	-	-	-	-	-
contig_1	cds	43167	43811	+	EPJJIE_000086	-	-	-	-	-	-
contig_1	cds	43824	44045	-	EPJJIE_000087	-	-	-	-	-	-
contig_1	cds	44081	44701	-	EPJJIE_000088	-	-	-	-	-	-
contig_1	cds	44698	44919	-	EPJJIE_000089	-	-	-	-	-	-
contig_1	cds	45025	45612	+	EPJJIE_000090	-	-	-	-	-	-
contig_1	cds	45809	46609	+	EPJJIE_000091	-	-	-	-	-	-
contig_1	cds	46492	46797	-	EPJJIE_000092	-	-	-	-	-	-
contig_1	cds	47153	47491	-	EPJJIE_000093	-	-	-	-	-	-
contig_1	cds	47558	47803	-	EPJJIE_000094	-	-	-	-	-	-
contig_1	cds	47811	48266	-	EPJJIE_000095	-	-	-	-	-	-
contig_1	cds	48230	48586	-	EPJJIE_000096	-	-	-	-	-	-
contig_1	cds	48600	48848	-	EPJJIE_000097	-	-	-	-	-	-
contig_1	cds	48893	49468	-	EPJJIE_000098	-	-	-	-	-	-
contig_1	cds	49465	49836	-	EPJJIE_000099	-	-	-	-	-	-
contig_1	cds	49776	50453	-	EPJJIE_000100	-	-	-	-	-	-
contig_1	cds	50478	50852	-	EPJJIE_000101	-	-	-	-	-	-
contig_1	cds	51135	51383	-	EPJJIE_000102	-	-	-	-	-	-
contig_1	cds	51567	51776	-	EPJJIE_000103	-	-	-	-	-	-
contig_1	cds	51758	52060	-	EPJJIE_000104	-	-	-	-	-	-
contig_1	cds	52219	52494	-	EPJJIE_000105	-	-	-	-	-	-
contig_1	cds	52646	52924	-	EPJJIE_000106	-	-	-	-	-	-
contig_1	cds	53034	53468	+	EPJJIE_000107	-	-	-	-	-	-
contig_1	cds	53857	54063	-	EPJJIE_000108	-	-	-	-	-	-
contig_1	cds	54176	54454	-	EPJJIE_000109	-	-	-	-	-	-
contig_1	cds	54612	54863	-	EPJJIE_000110	-	-	-	-	-	-
contig_1	cds	54873	55154	-	EPJJIE_000111	150.0	4.1e-47	0.968	0.900	0.733	UniRef:UniRef50_R9HHM2
contig_1	cds	55151	55495	-	EPJJIE_000112	158.0	1.8e-49	0.947	0.871	0.741	UniRef:UniRef50_A0AA95HPA3
contig_1	cds	55510	55899	+	EPJJIE_000113	-	-	-	-	-	-
contig_1	cds	56036	56140	-	EPJJIE_000114	-	-	-	-	-	-
contig_1	cds	56149	56265	-	EPJJIE_000115	47.8	4.5e-08	1.0	1.0	0.526	UniRef:UniRef50_R9H9G3
contig_1	cds	56262	56738	-	EPJJIE_000116	-	-	-	-	-	-
contig_1	cds	56728	56991	-	EPJJIE_000117	-	-	-	-	-	-
contig_1	cds	57139	57318	-	EPJJIE_000118	-	-	-	-	-	-
contig_1	cds	57391	57723	-	EPJJIE_000119	-	-	-	-	-	-
contig_1	cds	57720	58154	-	EPJJIE_000120	-	-	-	-	-	-
contig_1	cds	58156	58554	+	EPJJIE_000121	-	-	-	-	-	-
contig_1	cds	58599	59171	-	EPJJIE_000122	-	-	-	-	-	-
contig_1	cds	59171	59578	-	EPJJIE_000123	-	-	-	-	-	-
contig_1	cds	59798	60172	-	EPJJIE_000124	-	-	-	-	-	-
contig_1	cds	60349	60555	-	EPJJIE_000125	75.5	2.8e-18	0.824	0.903	0.714	UniRef:UniRef50_Q5LCQ4
contig_1	cds	60542	60721	-	EPJJIE_000126	-	-	-	-	-	-
contig_1	cds	60739	60885	-	EPJJIE_000127	-	-	-	-	-	-
contig_1	cds	61000	61164	-	EPJJIE_000128	101.0	9.2e-29	0.963	0.839	0.904	UniRef:UniRef50_A0A4Y1VLT2
contig_1	cds	61833	62039	-	EPJJIE_000129	-	-	-	-	-	-
contig_1	cds	62320	62529	-	EPJJIE_000130	-	-	-	-	-	-
contig_1	cds	62533	63231	-	EPJJIE_000131	-	-	-	-	-	-
contig_1	cds	63228	63401	-	EPJJIE_000132	-	-	-	-	-	-
contig_1	cds	63391	63594	-	EPJJIE_000133	-	-	-	-	-	-
contig_1	cds	63762	64703	-	EPJJIE_000134	-	-	-	-	-	-
contig_1	cds	64667	65377	-	EPJJIE_000135	-	-	-	-	-	-
contig_1	cds	65418	65738	-	EPJJIE_000136	-	-	-	-	-	-
contig_1	cds	65775	66074	-	EPJJIE_000137	-	-	-	-	-	-
contig_1	cds	66097	66297	-	EPJJIE_000138	-	-	-	-	-	-
contig_1	cds	66327	66686	-	EPJJIE_000139	-	-	-	-	-	-
contig_1	cds	66683	67282	-	EPJJIE_000140	-	-	-	-	-	-
contig_1	cds	67410	67664	-	EPJJIE_000141	-	-	-	-	-	-
contig_1	cds	67634	67951	-	EPJJIE_000142	-	-	-	-	-	-
contig_1	cds	67917	68204	-	EPJJIE_000143	-	-	-	-	-	-
contig_1	cds	68229	68441	-	EPJJIE_000144	-	-	-	-	-	-
contig_1	cds	68661	69353	-	EPJJIE_000145	-	-	-	-	-	-
contig_1	cds	69377	69619	-	EPJJIE_000146	-	-	-	-	-	-
contig_1	cds	69601	70341	-	EPJJIE_000147	-	-	-	-	-	-
contig_1	cds	70308	71162	-	EPJJIE_000148	-	-	-	-	-	-
contig_1	cds	71188	71310	-	EPJJIE_000149	-	-	-	-	-	-
contig_1	cds	71273	71521	-	EPJJIE_000150	-	-	-	-	-	-
contig_1	cds	71887	72054	+	EPJJIE_000151	-	-	-	-	-	-
contig_1	cds	72641	72880	+	EPJJIE_000152	-	-	-	-	-	-
contig_1	cds	72766	73122	-	EPJJIE_000153	-	-	-	-	-	-
contig_1	cds	73280	73750	-	EPJJIE_000154	-	-	-	-	-	-
contig_1	cds	73770	74192	-	EPJJIE_000155	-	-	-	-	-	-
contig_1	cds	74162	74419	-	EPJJIE_000156	-	-	-	-	-	-
contig_1	cds	74498	74683	-	EPJJIE_000157	-	-	-	-	-	-
contig_1	cds	74709	74894	-	EPJJIE_000158	-	-	-	-	-	-
contig_1	cds	74837	75385	-	EPJJIE_000159	-	-	-	-	-	-
contig_1	cds	75532	75693	-	EPJJIE_000160	-	-	-	-	-	-
contig_1	cds	75690	75968	-	EPJJIE_000161	-	-	-	-	-	-
contig_1	cds	75980	76285	-	EPJJIE_000162	-	-	-	-	-	-
contig_1	cds	76798	77271	+	EPJJIE_000163	-	-	-	-	-	-
contig_1	cds	77488	77961	+	EPJJIE_000164	-	-	-	-	-	-
contig_1	cds	77967	78503	+	EPJJIE_000165	-	-	-	-	-	-
contig_1	cds	78645	78881	+	EPJJIE_000166	-	-	-	-	-	-
contig_1	cds	78839	78964	+	EPJJIE_000167	-	-	-	-	-	-
contig_1	cds	78985	80091	+	EPJJIE_000168	402.0	1.3e-137	1.005	0.907	0.600	UniRef:UniRef50_A0A449I1S9
contig_1	cds	80221	80832	+	EPJJIE_000169	-	-	-	-	-	-
contig_1	cds	80804	81043	+	EPJJIE_000170	-	-	-	-	-	-
contig_1	cds	81181	81588	+	EPJJIE_000171	-	-	-	-	-	-
contig_1	cds	81627	82280	+	EPJJIE_000172	-	-	-	-	-	-
contig_1	cds	82289	82612	+	EPJJIE_000173	-	-	-	-	-	-
contig_1	cds	82815	82982	+	EPJJIE_000174	-	-	-	-	-	-
contig_1	cds	83163	83339	-	EPJJIE_000175	-	-	-	-	-	-
contig_1	cds	83306	83530	-	EPJJIE_000176	-	-	-	-	-	-
contig_1	cds	83691	83936	-	EPJJIE_000177	-	-	-	-	-	-
contig_1	cds	84337	84606	+	EPJJIE_000178	-	-	-	-	-	-
contig_1	cds	84603	85034	+	EPJJIE_000179	-	-	-	-	-	-
contig_1	cds	85042	85185	+	EPJJIE_000180	-	-	-	-	-	-
contig_1	cds	85790	86758	-	EPJJIE_000181	-	-	-	-	-	-
contig_1	cds	86716	86928	-	EPJJIE_000182	-	-	-	-	-	-
contig_1	cds	87290	87421	+	EPJJIE_000183	-	-	-	-	-	-
contig_1	cds	87403	87813	+	EPJJIE_000184	-	-	-	-	-	-
contig_1	cds	87926	88099	+	EPJJIE_000185	-	-	-	-	-	-
contig_1	cds	88360	88557	+	EPJJIE_000186	-	-	-	-	-	-
contig_1	cds	88608	89270	+	EPJJIE_000187	-	-	-	-	-	-
contig_1	cds	89290	89742	+	EPJJIE_000188	-	-	-	-	-	-
contig_1	cds	90469	90633	+	EPJJIE_000189	-	-	-	-	-	-
contig_1	cds	90721	91116	+	EPJJIE_000190	-	-	-	-	-	-
contig_1	cds	91172	91507	+	EPJJIE_000191	-	-	-	-	-	-
contig_1	cds	91582	91911	+	EPJJIE_000192	-	-	-	-	-	-
contig_1	cds	91902	92234	+	EPJJIE_000193	-	-	-	-	-	-
contig_1	cds	92411	92701	-	EPJJIE_000194	-	-	-	-	-	-
contig_1	cds	92641	93171	-	EPJJIE_000195	-	-	-	-	-	-
contig_1	cds	93406	94635	+	EPJJIE_000196	-	-	-	-	-	-
contig_1	cds	94792	95052	+	EPJJIE_000197	-	-	-	-	-	-
contig_1	cds	95317	95430	+	EPJJIE_000198	-	-	-	-	-	-
contig_1	cds	95439	95618	-	EPJJIE_000199	-	-	-	-	-	-
contig_1	cds	95757	95978	+	EPJJIE_000200	-	-	-	-	-	-
contig_1	cds	96041	96328	+	EPJJIE_000201	-	-	-	-	-	-
contig_1	cds	96603	97244	-	EPJJIE_000202	-	-	-	-	-	-
contig_1	cds	97279	97653	-	EPJJIE_000203	-	-	-	-	-	-
contig_1	cds	97619	98254	-	EPJJIE_000204	-	-	-	-	-	-
contig_1	cds	98251	98373	-	EPJJIE_000205	-	-	-	-	-	-
contig_1	cds	98589	99110	-	EPJJIE_000206	-	-	-	-	-	-
contig_1	cds	99098	99832	-	EPJJIE_000207	-	-	-	-	-	-
contig_1	cds	99933	100202	-	EPJJIE_000208	-	-	-	-	-	-
contig_1	cds	100195	100293	-	EPJJIE_000209	-	-	-	-	-	-
contig_1	cds	100336	100593	-	EPJJIE_000210	-	-	-	-	-	-
contig_1	cds	100587	100805	-	EPJJIE_000211	-	-	-	-	-	-
contig_1	cds	100747	100926	-	EPJJIE_000212	-	-	-	-	-	-
contig_1	cds	100926	101243	-	EPJJIE_000213	-	-	-	-	-	-
contig_1	cds	101265	101756	-	EPJJIE_000214	-	-	-	-	-	-
contig_1	cds	102667	102909	-	EPJJIE_000215	-	-	-	-	-	-
contig_1	cds	102917	103717	-	EPJJIE_000216	-	-	-	-	-	-
contig_1	cds	103761	103961	-	EPJJIE_000217	-	-	-	-	-	-
contig_1	cds	104055	104360	-	EPJJIE_000218	-	-	-	-	-	-
contig_1	cds	104570	105058	-	EPJJIE_000219	-	-	-	-	-	-
contig_1	cds	105404	105703	+	EPJJIE_000220	-	-	-	-	-	-
contig_1	cds	105712	105963	+	EPJJIE_000221	-	-	-	-	-	-
contig_1	cds	105985	106305	+	EPJJIE_000222	-	-	-	-	-	-
contig_1	cds	106269	106484	+	EPJJIE_000223	-	-	-	-	-	-
contig_1	cds	106648	106974	+	EPJJIE_000224	-	-	-	-	-	-
contig_1	cds	107216	107710	+	EPJJIE_000225	169.0	1.8e-52	1.0	0.994	0.573	UniRef:UniRef50_I8YHC8
contig_1	cds	107724	108296	-	EPJJIE_000226	234.0	5.8e-77	0.984	0.854	0.599	UniRef:UniRef50_V8CQ97
contig_1	cds	108368	109639	+	EPJJIE_000227	541.0	8.6e-192	0.849	0.918	0.727	UniRef:UniRef50_A0A380YKQ1
contig_1	cds	109749	110111	+	EPJJIE_000228	-	-	-	-	-	-
contig_1	cds	110287	110604	+	EPJJIE_000229	-	-	-	-	-	-
contig_1	cds	110680	111021	+	EPJJIE_000230	-	-	-	-	-	-
contig_1	cds	110990	111178	+	EPJJIE_000231	-	-	-	-	-	-
contig_1	cds	111206	112186	+	EPJJIE_000232	-	-	-	-	-	-
contig_1	cds	112243	112593	+	EPJJIE_000233	-	-	-	-	-	-
contig_1	cds	112777	113196	+	EPJJIE_000234	-	-	-	-	-	-
contig_1	cds	113147	113353	+	EPJJIE_000235	-	-	-	-	-	-
contig_1	cds	113361	114302	+	EPJJIE_000236	-	-	-	-	-	-
contig_1	cds	114299	114727	+	EPJJIE_000237	-	-	-	-	-	-
contig_1	cds	114724	114900	+	EPJJIE_000238	-	-	-	-	-	-
contig_1	cds	114857	115030	+	EPJJIE_000239	-	-	-	-	-	-
contig_1	cds	114985	115236	+	EPJJIE_000240	-	-	-	-	-	-
contig_1	cds	115408	116130	+	EPJJIE_000241	-	-	-	-	-	-
contig_1	cds	116214	116546	+	EPJJIE_000242	-	-	-	-	-	-
contig_1	cds	116596	117168	+	EPJJIE_000243	-	-	-	-	-	-
contig_1	cds	117171	117359	-	EPJJIE_000244	-	-	-	-	-	-
contig_1	cds	117400	117648	-	EPJJIE_000245	-	-	-	-	-	-
contig_1	cds	117593	117718	-	EPJJIE_000246	-	-	-	-	-	-
contig_1	cds	117724	117903	-	EPJJIE_000247	-	-	-	-	-	-
contig_1	cds	118004	118297	-	EPJJIE_000248	-	-	-	-	-	-
contig_1	cds	118264	118503	-	EPJJIE_000249	-	-	-	-	-	-
contig_1	cds	118707	119033	-	EPJJIE_000250	-	-	-	-	-	-
contig_1	cds	119015	119437	-	EPJJIE_000251	-	-	-	-	-	-
contig_1	cds	119689	119973	-	EPJJIE_000252	-	-	-	-	-	-
contig_1	cds	119970	120296	-	EPJJIE_000253	-	-	-	-	-	-
contig_1	cds	120381	120572	+	EPJJIE_000254	-	-	-	-	-	-
contig_1	cds	120662	120820	-	EPJJIE_000255	-	-	-	-	-	-
contig_1	cds	120807	121112	-	EPJJIE_000256	-	-	-	-	-	-
contig_1	cds	121126	121305	-	EPJJIE_000257	-	-	-	-	-	-
contig_1	cds	121277	121813	-	EPJJIE_000258	-	-	-	-	-	-
contig_1	cds	121818	122489	-	EPJJIE_000259	-	-	-	-	-	-
contig_1	cds	122644	122883	-	EPJJIE_000260	-	-	-	-	-	-
contig_1	cds	123006	123512	-	EPJJIE_000261	-	-	-	-	-	-
contig_1	cds	123553	123699	-	EPJJIE_000262	-	-	-	-	-	-
contig_1	cds	123707	123958	-	EPJJIE_000263	-	-	-	-	-	-
contig_1	cds	123964	124164	+	EPJJIE_000264	-	-	-	-	-	-
contig_1	cds	124190	124690	-	EPJJIE_000265	-	-	-	-	-	-
contig_1	cds	124853	125566	-	EPJJIE_000266	-	-	-	-	-	-
contig_1	cds	125515	125661	-	EPJJIE_000267	-	-	-	-	-	-
contig_1	cds	125842	125991	-	EPJJIE_000268	-	-	-	-	-	-
contig_1	cds	126055	126252	-	EPJJIE_000269	-	-	-	-	-	-
contig_1	cds	126219	126422	-	EPJJIE_000270	-	-	-	-	-	-
contig_1	cds	126596	127147	-	EPJJIE_000271	-	-	-	-	-	-
contig_1	cds	127107	127580	-	EPJJIE_000272	-	-	-	-	-	-
contig_1	cds	127970	128917	+	EPJJIE_000273	-	-	-	-	-	-
contig_1	cds	129060	129350	+	EPJJIE_000274	-	-	-	-	-	-
contig_1	cds	129440	129913	+	EPJJIE_000275	-	-	-	-	-	-
contig_1	cds	129874	130287	+	EPJJIE_000276	-	-	-	-	-	-
contig_1	cds	130302	130565	+	EPJJIE_000277	-	-	-	-	-	-
contig_1	cds	130568	131320	+	EPJJIE_000278	-	-	-	-	-	-
contig_1	cds	131450	132007	+	EPJJIE_000279	-	-	-	-	-	-
contig_1	cds	132056	132433	+	EPJJIE_000280	-	-	-	-	-	-
contig_1	cds	132400	132669	+	EPJJIE_000281	-	-	-	-	-	-
contig_1	cds	132952	133362	-	EPJJIE_000282	-	-	-	-	-	-
contig_1	cds	133579	133953	+	EPJJIE_000283	-	-	-	-	-	-
contig_1	cds	134196	134393	-	EPJJIE_000284	-	-	-	-	-	-
contig_1	ncRNA	134733	134846	+	EPJJIE_000285	125.1	1.7e-20	-	-	-	RFAM:RF04179
contig_1	cds	135045	135290	-	EPJJIE_000286	-	-	-	-	-	-
contig_1	cds	135612	135788	-	EPJJIE_000287	-	-	-	-	-	-
contig_1	cds	135846	136019	-	EPJJIE_000288	-	-	-	-	-	-
contig_1	cds	136252	136398	-	EPJJIE_000289	-	-	-	-	-	-
contig_1	cds	136713	136844	+	EPJJIE_000290	-	-	-	-	-	-
contig_1	cds	137088	137546	-	EPJJIE_000291	-	-	-	-	-	-
contig_1	cds	137793	137897	-	EPJJIE_000292	-	-	-	-	-	-
contig_1	cds	138642	138827	+	EPJJIE_000293	-	-	-	-	-	-
contig_1	cds	138866	139219	+	EPJJIE_000294	-	-	-	-	-	-
contig_1	cds	139304	139672	+	EPJJIE_000295	-	-	-	-	-	-
contig_1	cds	139725	139838	+	EPJJIE_000296	-	-	-	-	-	-
contig_1	cds	139832	140008	+	EPJJIE_000297	-	-	-	-	-	-
contig_1	cds	140152	140403	+	EPJJIE_000298	-	-	-	-	-	-
contig_1	cds	140442	140606	+	EPJJIE_000299	-	-	-	-	-	-
contig_1	cds	140790	140966	+	EPJJIE_000300	-	-	-	-	-	-
contig_1	cds	141244	141627	+	EPJJIE_000301	-	-	-	-	-	-
contig_1	cds	141648	141803	+	EPJJIE_000302	-	-	-	-	-	-
contig_1	cds	141910	142542	-	EPJJIE_000303	-	-	-	-	-	-
contig_1	cds	142560	142718	-	EPJJIE_000304	-	-	-	-	-	-
contig_1	cds	142897	143073	-	EPJJIE_000305	-	-	-	-	-	-
contig_1	cds	143022	143573	-	EPJJIE_000306	-	-	-	-	-	-
contig_1	cds	143809	144096	-	EPJJIE_000307	-	-	-	-	-	-
contig_1	cds	144042	144650	-	EPJJIE_000308	-	-	-	-	-	-
contig_1	cds	144929	145210	+	EPJJIE_000309	-	-	-	-	-	-
contig_1	cds	145284	145496	-	EPJJIE_000310	-	-	-	-	-	-
contig_1	cds	145705	146040	-	EPJJIE_000311	-	-	-	-	-	-
contig_1	cds	146523	146756	-	EPJJIE_000312	-	-	-	-	-	-
contig_1	cds	146753	147118	-	EPJJIE_000313	-	-	-	-	-	-
contig_1	cds	147106	147594	-	EPJJIE_000314	-	-	-	-	-	-
contig_1	cds	147579	147899	-	EPJJIE_000315	-	-	-	-	-	-
contig_1	cds	147881	148600	-	EPJJIE_000316	-	-	-	-	-	-
contig_1	cds	148617	148832	-	EPJJIE_000317	-	-	-	-	-	-
contig_1	cds	148950	149693	-	EPJJIE_000318	-	-	-	-	-	-
contig_1	cds	149659	150090	-	EPJJIE_000319	-	-	-	-	-	-
contig_1	cds	150223	150960	+	EPJJIE_000320	-	-	-	-	-	-
contig_1	cds	151118	151435	+	EPJJIE_000321	-	-	-	-	-	-
contig_1	cds	151443	151559	-	EPJJIE_000322	44.3	1.0e-06	0.816	0.838	0.677	UniRef:UniRef50_E6SRJ8
contig_1	cds	151610	151825	-	EPJJIE_000323	-	-	-	-	-	-
contig_1	cds	151837	151932	-	EPJJIE_000324	-	-	-	-	-	-
contig_1	cds	151919	152071	-	EPJJIE_000325	-	-	-	-	-	-
contig_1	cds	153575	153691	+	EPJJIE_000326	-	-	-	-	-	-
contig_1	cds	153971	154366	-	EPJJIE_000327	-	-	-	-	-	-
contig_1	cds	154348	154605	-	EPJJIE_000328	-	-	-	-	-	-
contig_1	cds	154978	155166	-	EPJJIE_000329	-	-	-	-	-	-
contig_1	cds	155175	155387	-	EPJJIE_000330	-	-	-	-	-	-
contig_1	cds	155365	155565	-	EPJJIE_000331	-	-	-	-	-	-
contig_1	cds	155614	155703	+	EPJJIE_000332	-	-	-	-	-	-
contig_1	cds	155813	155932	-	EPJJIE_000333	-	-	-	-	-	-
contig_1	cds	156044	156340	-	EPJJIE_000334	-	-	-	-	-	-
contig_1	cds	156416	156661	-	EPJJIE_000335	-	-	-	-	-	-
contig_1	cds	157022	157168	-	EPJJIE_000336	-	-	-	-	-	-
contig_1	cds	157165	157689	-	EPJJIE_000337	-	-	-	-	-	-
contig_1	cds	157649	158029	-	EPJJIE_000338	-	-	-	-	-	-
contig_1	cds	158060	158356	-	EPJJIE_000339	-	-	-	-	-	-
contig_1	cds	158599	159189	-	EPJJIE_000340	-	-	-	-	-	-
contig_1	cds	159177	159386	-	EPJJIE_000341	-	-	-	-	-	-
contig_1	cds	159489	159878	-	EPJJIE_000342	-	-	-	-	-	-
contig_1	cds	159890	160123	-	EPJJIE_000343	-	-	-	-	-	-
contig_1	cds	160287	160595	-	EPJJIE_000344	-	-	-	-	-	-
contig_1	cds	160592	161014	-	EPJJIE_000345	-	-	-	-	-	-
contig_1	cds	161517	161687	-	EPJJIE_000346	-	-	-	-	-	-
contig_1	cds	161711	161989	-	EPJJIE_000347	-	-	-	-	-	-
contig_1	cds	162060	162332	-	EPJJIE_000348	-	-	-	-	-	-
contig_1	cds	162749	162916	-	EPJJIE_000349	-	-	-	-	-	-
contig_1	cds	162913	163206	-	EPJJIE_000350	-	-	-	-	-	-
