#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	31815	32030	+	EPJJIE_000059	7.9	10.6	PF01656.29|CbiA, PF13614.12|AAA_31	PFAM:PF01656.29, PFAM:PF13614.12
contig_1	32006	32170	+	EPJJIE_000060	6.0	5.2		
contig_1	32225	32413	+	EPJJIE_000061	7.3	9.9		
contig_1	32419	32586	+	EPJJIE_000062	6.1	6.1		
contig_1	32515	32994	-	EPJJIE_000063	18.2	9.3		
contig_1	33267	33521	+	EPJJIE_000064	9.4	5.6		
contig_1	33623	34345	+	EPJJIE_000065	27.9	4.6		
contig_1	34564	34791	+	EPJJIE_000066	8.9	6.7		
contig_1	35319	35471	+	EPJJIE_000067	5.4	4.5		
contig_1	35686	35967	-	EPJJIE_000068	10.2	5.8		
contig_1	35981	36415	-	EPJJIE_000069	15.9	6.1	PF18998.6|Flg_new_2	PFAM:PF18998.6
contig_1	36354	36578	-	EPJJIE_000070	7.8	4.7		
contig_1	36752	37006	-	EPJJIE_000071	9.8	10.3	PF08279.18|HTH_11	PFAM:PF08279.18
contig_1	37011	37277	-	EPJJIE_000072	10.3	7.7		
contig_1	37561	37743	+	EPJJIE_000073	6.4	4.3		
contig_1	37805	38392	-	EPJJIE_000074	23.0	10.3		
contig_1	38587	38778	-	EPJJIE_000075	7.1	9.7		
contig_1	38815	38955	-	EPJJIE_000076	5.5	9.6		
contig_1	39580	39690	-	EPJJIE_000077	4.3	9.3		
contig_1	39687	39968	-	EPJJIE_000078	10.5	9.3		
contig_1	41159	41671	-	EPJJIE_000080	19.6	6.5		
contig_1	41795	42139	-	EPJJIE_000081	13.3	8.5		
contig_1	42181	42366	-	EPJJIE_000082	6.5	4.1		
contig_1	42381	42590	-	EPJJIE_000083	7.4	4.8		
contig_1	42596	42913	-	EPJJIE_000084	11.9	10.8		
contig_1	42852	43085	-	EPJJIE_000085	8.5	10.1		
contig_1	43167	43811	+	EPJJIE_000086	23.9	8.6		
contig_1	43824	44045	-	EPJJIE_000087	8.9	9.0		
contig_1	44081	44701	-	EPJJIE_000088	24.1	7.6		
contig_1	44698	44919	-	EPJJIE_000089	8.5	10.1		
contig_1	45025	45612	+	EPJJIE_000090	21.4	9.7		
contig_1	45809	46609	+	EPJJIE_000091	29.3	9.7		
contig_1	46492	46797	-	EPJJIE_000092	11.5	6.1		
contig_1	47153	47491	-	EPJJIE_000093	12.2	9.8		
contig_1	47558	47803	-	EPJJIE_000094	8.6	6.0	PF18998.6|Flg_new_2	PFAM:PF18998.6
contig_1	47811	48266	-	EPJJIE_000095	17.0	9.4		
contig_1	48230	48586	-	EPJJIE_000096	13.2	9.2		
contig_1	48600	48848	-	EPJJIE_000097	8.9	4.1		
contig_1	48893	49468	-	EPJJIE_000098	20.8	7.9		
contig_1	49465	49836	-	EPJJIE_000099	14.0	4.5		
contig_1	49776	50453	-	EPJJIE_000100	25.1	9.7		
contig_1	50478	50852	-	EPJJIE_000101	14.6	5.9		
contig_1	51135	51383	-	EPJJIE_000102	9.4	9.8		
contig_1	51567	51776	-	EPJJIE_000103	8.1	9.2		
contig_1	51758	52060	-	EPJJIE_000104	12.3	9.5		
contig_1	52219	52494	-	EPJJIE_000105	10.3	9.2		
contig_1	52646	52924	-	EPJJIE_000106	10.5	10.1		
contig_1	53034	53468	+	EPJJIE_000107	16.4	9.3		
contig_1	53857	54063	-	EPJJIE_000108	7.7	11.5		
contig_1	54176	54454	-	EPJJIE_000109	10.3	7.9		
contig_1	54612	54863	-	EPJJIE_000110	9.8	9.4		
contig_1	54873	55154	-	EPJJIE_000111	10.8	9.4		SO:0001217, UniRef:UniRef50_R9HHM2
contig_1	55510	55899	+	EPJJIE_000113	14.7	10.7		
contig_1	56036	56140	-	EPJJIE_000114	4.1	8.1		
contig_1	56262	56738	-	EPJJIE_000116	18.4	9.6		
contig_1	56728	56991	-	EPJJIE_000117	9.8	9.5		
contig_1	57139	57318	-	EPJJIE_000118	6.9	9.4		
contig_1	57391	57723	-	EPJJIE_000119	12.2	7.0		
contig_1	57720	58154	-	EPJJIE_000120	16.4	8.5	PF01807.25|Zn_ribbon_DnaG	PFAM:PF01807.25
contig_1	58156	58554	+	EPJJIE_000121	14.8	9.6		
contig_1	58599	59171	-	EPJJIE_000122	21.4	9.3		
contig_1	59171	59578	-	EPJJIE_000123	15.3	5.8	PF14297.12|Lin1244_N	PFAM:PF14297.12
contig_1	59798	60172	-	EPJJIE_000124	14.2	10.3		
contig_1	60349	60555	-	EPJJIE_000125	7.9	8.8		SO:0001217, UniRef:UniRef50_Q5LCQ4
contig_1	60542	60721	-	EPJJIE_000126	6.9	9.1		
contig_1	60739	60885	-	EPJJIE_000127	5.2	4.5		
contig_1	61833	62039	-	EPJJIE_000129	7.8	9.7		
contig_1	62320	62529	-	EPJJIE_000130	7.7	5.1	PF00962.28|A_deaminase	PFAM:PF00962.28
contig_1	62533	63231	-	EPJJIE_000131	26.1	5.9		
contig_1	63228	63401	-	EPJJIE_000132	6.7	5.0		
contig_1	63391	63594	-	EPJJIE_000133	7.4	9.4		
contig_1	63762	64703	-	EPJJIE_000134	35.4	6.2		
contig_1	64667	65377	-	EPJJIE_000135	26.6	7.0		
contig_1	65418	65738	-	EPJJIE_000136	12.1	5.9		
contig_1	65775	66074	-	EPJJIE_000137	11.2	5.3		
contig_1	66097	66297	-	EPJJIE_000138	7.3	4.4		
contig_1	66327	66686	-	EPJJIE_000139	13.1	4.5		
contig_1	66683	67282	-	EPJJIE_000140	22.1	10.3		
contig_1	67410	67664	-	EPJJIE_000141	8.7	10.3		
contig_1	67634	67951	-	EPJJIE_000142	12.4	10.5		
contig_1	67917	68204	-	EPJJIE_000143	10.6	7.7		
contig_1	68229	68441	-	EPJJIE_000144	7.9	9.5		
contig_1	68661	69353	-	EPJJIE_000145	25.6	9.0		
contig_1	69377	69619	-	EPJJIE_000146	9.4	8.9		
contig_1	69601	70341	-	EPJJIE_000147	27.8	9.6	PF12833.13|HTH_18	PFAM:PF12833.13
contig_1	70308	71162	-	EPJJIE_000148	32.7	6.9		
contig_1	71188	71310	-	EPJJIE_000149	4.9	9.6		
contig_1	71273	71521	-	EPJJIE_000150	9.6	6.1		
contig_1	71887	72054	+	EPJJIE_000151	6.4	5.7		
contig_1	72641	72880	+	EPJJIE_000152	9.1	9.2		
contig_1	72766	73122	-	EPJJIE_000153	14.3	5.0	PF00268.27|Ribonuc_red_sm	PFAM:PF00268.27
contig_1	73280	73750	-	EPJJIE_000154	18.3	9.3	PF00268.27|Ribonuc_red_sm	PFAM:PF00268.27
contig_1	73770	74192	-	EPJJIE_000155	15.6	8.8		
contig_1	74162	74419	-	EPJJIE_000156	9.8	9.2		
contig_1	74498	74683	-	EPJJIE_000157	6.5	4.6		
contig_1	74709	74894	-	EPJJIE_000158	7.0	11.0		
contig_1	74837	75385	-	EPJJIE_000159	20.8	5.7		
contig_1	75532	75693	-	EPJJIE_000160	6.0	4.3		
contig_1	75690	75968	-	EPJJIE_000161	10.4	4.7		
contig_1	75980	76285	-	EPJJIE_000162	11.5	5.2	PF03477.21|ATP-cone	PFAM:PF03477.21
contig_1	76798	77271	+	EPJJIE_000163	18.0	9.6		
contig_1	77488	77961	+	EPJJIE_000164	18.3	9.1		
contig_1	77967	78503	+	EPJJIE_000165	20.2	8.5	PF00593.30|TonB_dep_Rec_b-barrel	PFAM:PF00593.30
contig_1	78645	78881	+	EPJJIE_000166	8.8	7.8		
contig_1	78839	78964	+	EPJJIE_000167	4.5	9.2		
contig_1	80221	80832	+	EPJJIE_000169	23.4	7.1	PF04055.27|Radical_SAM	PFAM:PF04055.27
contig_1	80804	81043	+	EPJJIE_000170	8.9	7.7		
contig_1	81181	81588	+	EPJJIE_000171	15.0	5.3	PF06969.22|HemN_C	PFAM:PF06969.22
contig_1	81627	82280	+	EPJJIE_000172	24.3	7.8	PF00070.33|Pyr_redox, PF01266.30|DAO, PF01593.30|Amino_oxidase, PF13450.12|NAD_binding_8	PFAM:PF00070.33, PFAM:PF01266.30, PFAM:PF01593.30, PFAM:PF13450.12
contig_1	82289	82612	+	EPJJIE_000173	12.0	9.1		
contig_1	82815	82982	+	EPJJIE_000174	6.1	9.5		
contig_1	83163	83339	-	EPJJIE_000175	7.1	9.2		
contig_1	83306	83530	-	EPJJIE_000176	8.7	4.9		
contig_1	83691	83936	-	EPJJIE_000177	8.8	4.5		
contig_1	84337	84606	+	EPJJIE_000178	10.1	4.9		
contig_1	84603	85034	+	EPJJIE_000179	16.9	6.5	PF00248.27|Aldo_ket_red	PFAM:PF00248.27
contig_1	85042	85185	+	EPJJIE_000180	5.7	4.5		
contig_1	85790	86758	-	EPJJIE_000181	36.0	5.4		
contig_1	86716	86928	-	EPJJIE_000182	7.9	4.4	PF17820.7|PDZ_6	PFAM:PF17820.7
contig_1	87290	87421	+	EPJJIE_000183	5.1	9.4		
contig_1	87403	87813	+	EPJJIE_000184	15.8	6.3		
contig_1	87926	88099	+	EPJJIE_000185	6.5	9.4		
contig_1	88360	88557	+	EPJJIE_000186	7.6	9.7		
contig_1	88608	89270	+	EPJJIE_000187	26.1	8.8		
contig_1	89290	89742	+	EPJJIE_000188	17.8	6.7	PF04542.20|Sigma70_r2	PFAM:PF04542.20
contig_1	90469	90633	+	EPJJIE_000189	6.3	4.9		
contig_1	90721	91116	+	EPJJIE_000190	15.0	9.4		
contig_1	91172	91507	+	EPJJIE_000191	12.5	10.5		
contig_1	91582	91911	+	EPJJIE_000192	12.4	7.6		
contig_1	91902	92234	+	EPJJIE_000193	13.5	9.5		
contig_1	92411	92701	-	EPJJIE_000194	10.9	8.3		
contig_1	92641	93171	-	EPJJIE_000195	19.2	9.0	PF00892.27|EamA	PFAM:PF00892.27
contig_1	93406	94635	+	EPJJIE_000196	45.3	9.4		
contig_1	94792	95052	+	EPJJIE_000197	8.1	10.4	PF13488.11|Gly-zipper_Omp	PFAM:PF13488.11
contig_1	95317	95430	+	EPJJIE_000198	4.4	9.5		
contig_1	95439	95618	-	EPJJIE_000199	6.9	9.2		
contig_1	95757	95978	+	EPJJIE_000200	8.1	9.2	PF00912.28|Transgly	PFAM:PF00912.28
contig_1	96041	96328	+	EPJJIE_000201	10.8	10.7	PF00912.28|Transgly	PFAM:PF00912.28
contig_1	96603	97244	-	EPJJIE_000202	24.4	5.0		
contig_1	97279	97653	-	EPJJIE_000203	14.4	8.8		
contig_1	97619	98254	-	EPJJIE_000204	24.0	5.0	PF12741.13|SusD-like, PF12771.13|SusD-like_2	PFAM:PF12741.13, PFAM:PF12771.13
contig_1	98251	98373	-	EPJJIE_000205	4.4	4.1		
contig_1	98589	99110	-	EPJJIE_000206	19.1	7.9		
contig_1	99098	99832	-	EPJJIE_000207	28.0	7.7	PF00593.30|TonB_dep_Rec_b-barrel	PFAM:PF00593.30
contig_1	99933	100202	-	EPJJIE_000208	9.9	9.4		
contig_1	100195	100293	-	EPJJIE_000209	3.9	4.9		
contig_1	100336	100593	-	EPJJIE_000210	9.4	8.1		
contig_1	100587	100805	-	EPJJIE_000211	8.4	9.8		
contig_1	100747	100926	-	EPJJIE_000212	6.7	4.6		
contig_1	100926	101243	-	EPJJIE_000213	11.2	5.2	PF07715.20|Plug	PFAM:PF07715.20
contig_1	101265	101756	-	EPJJIE_000214	17.3	5.2	PF13620.12|CarboxypepD_reg, PF13715.12|CarbopepD_reg_2	PFAM:PF13620.12, PFAM:PF13715.12
contig_1	102667	102909	-	EPJJIE_000215	9.3	5.6		
contig_1	102917	103717	-	EPJJIE_000216	30.2	8.3	PF02436.23|PYC_OADA	PFAM:PF02436.23
contig_1	103761	103961	-	EPJJIE_000217	7.2	9.5		
contig_1	104055	104360	-	EPJJIE_000218	11.5	9.5		
contig_1	104570	105058	-	EPJJIE_000219	19.0	6.3	PF04542.20|Sigma70_r2, PF08281.18|Sigma70_r4_2	PFAM:PF04542.20, PFAM:PF08281.18
contig_1	105404	105703	+	EPJJIE_000220	11.0	6.1		
contig_1	105712	105963	+	EPJJIE_000221	9.6	5.0		
contig_1	105985	106305	+	EPJJIE_000222	12.0	7.9		
contig_1	106269	106484	+	EPJJIE_000223	8.1	5.3	PF01435.24|Peptidase_M48	PFAM:PF01435.24
contig_1	106648	106974	+	EPJJIE_000224	11.9	6.8	PF01435.24|Peptidase_M48	PFAM:PF01435.24
contig_1	109749	110111	+	EPJJIE_000228	13.3	8.9	PF13715.12|CarbopepD_reg_2	PFAM:PF13715.12
contig_1	110287	110604	+	EPJJIE_000229	11.9	4.7		
contig_1	110680	111021	+	EPJJIE_000230	13.2	8.6		
contig_1	110990	111178	+	EPJJIE_000231	7.1	9.1		
contig_1	111206	112186	+	EPJJIE_000232	37.8	9.4		
contig_1	112243	112593	+	EPJJIE_000233	13.7	9.6		
contig_1	112777	113196	+	EPJJIE_000234	15.8	7.0	PF00703.27|Glyco_hydro_2	PFAM:PF00703.27
contig_1	113147	113353	+	EPJJIE_000235	7.7	6.9	PF02836.23|Glyco_hydro_2_C	PFAM:PF02836.23
contig_1	113361	114302	+	EPJJIE_000236	34.5	8.9	PF02836.23|Glyco_hydro_2_C	PFAM:PF02836.23
contig_1	114299	114727	+	EPJJIE_000237	16.1	9.7		
contig_1	114724	114900	+	EPJJIE_000238	6.6	10.5		
contig_1	114857	115030	+	EPJJIE_000239	6.5	10.2		
contig_1	114985	115236	+	EPJJIE_000240	9.0	8.1	PF00004.35|AAA, PF05496.18|RuvB_N, PF07728.20|AAA_5	PFAM:PF00004.35, PFAM:PF05496.18, PFAM:PF07728.20
contig_1	115408	116130	+	EPJJIE_000241	27.0	5.2	PF12002.13|MgsA_C	PFAM:PF12002.13
contig_1	116214	116546	+	EPJJIE_000242	11.8	4.7	PF00389.36|2-Hacid_dh	PFAM:PF00389.36
contig_1	116596	117168	+	EPJJIE_000243	21.1	8.8	PF02826.25|2-Hacid_dh_C, PF03446.21|NAD_binding_2	PFAM:PF02826.25, PFAM:PF03446.21
contig_1	117171	117359	-	EPJJIE_000244	6.9	4.5	PF08282.18|Hydrolase_3	PFAM:PF08282.18
contig_1	117400	117648	-	EPJJIE_000245	9.2	6.7		
contig_1	117593	117718	-	EPJJIE_000246	4.5	9.8		
contig_1	117724	117903	-	EPJJIE_000247	6.6	5.6		
contig_1	118004	118297	-	EPJJIE_000248	10.8	5.3		
contig_1	118264	118503	-	EPJJIE_000249	9.2	9.9		
contig_1	118707	119033	-	EPJJIE_000250	12.5	10.5		
contig_1	119015	119437	-	EPJJIE_000251	16.0	5.0		
contig_1	119689	119973	-	EPJJIE_000252	10.8	9.9		
contig_1	119970	120296	-	EPJJIE_000253	12.8	8.4		
contig_1	120381	120572	+	EPJJIE_000254	7.1	10.0		
contig_1	120662	120820	-	EPJJIE_000255	5.8	4.1		
contig_1	120807	121112	-	EPJJIE_000256	11.6	8.3		
contig_1	121126	121305	-	EPJJIE_000257	6.9	8.9		
contig_1	121277	121813	-	EPJJIE_000258	19.9	8.7		
contig_1	121818	122489	-	EPJJIE_000259	25.2	4.4		
contig_1	122644	122883	-	EPJJIE_000260	8.7	9.1	PF05406.20|WGR	PFAM:PF05406.20
contig_1	123006	123512	-	EPJJIE_000261	18.9	6.6		
contig_1	123553	123699	-	EPJJIE_000262	5.3	6.0		
contig_1	123707	123958	-	EPJJIE_000263	9.3	9.5		
contig_1	123964	124164	+	EPJJIE_000264	7.4	9.2		
contig_1	124190	124690	-	EPJJIE_000265	18.4	9.5		
contig_1	124853	125566	-	EPJJIE_000266	26.4	6.7		
contig_1	125515	125661	-	EPJJIE_000267	5.5	9.3		
contig_1	125842	125991	-	EPJJIE_000268	6.1	11.0		
contig_1	126055	126252	-	EPJJIE_000269	7.3	6.7		
contig_1	126219	126422	-	EPJJIE_000270	8.0	10.1		
contig_1	126596	127147	-	EPJJIE_000271	20.3	8.6		
contig_1	127107	127580	-	EPJJIE_000272	17.7	8.8		
contig_1	127970	128917	+	EPJJIE_000273	34.7	6.1		
contig_1	129060	129350	+	EPJJIE_000274	11.1	5.5		
contig_1	129440	129913	+	EPJJIE_000275	17.7	9.3	PF13533.12|Biotin_lipoyl_2	PFAM:PF13533.12
contig_1	129874	130287	+	EPJJIE_000276	14.8	4.7	PF16576.10|HlyD_D23	PFAM:PF16576.10
contig_1	130302	130565	+	EPJJIE_000277	8.9	5.5		
contig_1	130568	131320	+	EPJJIE_000278	28.3	10.4	PF00005.33|ABC_tran	PFAM:PF00005.33
contig_1	131450	132007	+	EPJJIE_000279	19.6	5.4	PF12704.14|MacB_PCD	PFAM:PF12704.14
contig_1	132056	132433	+	EPJJIE_000280	13.9	4.9		
contig_1	132400	132669	+	EPJJIE_000281	9.6	5.7	PF02687.27|FtsX	PFAM:PF02687.27
contig_1	132952	133362	-	EPJJIE_000282	14.9	4.2		
contig_1	133579	133953	+	EPJJIE_000283	14.1	6.9		
contig_1	134196	134393	-	EPJJIE_000284	7.8	4.2		
contig_1	135045	135290	-	EPJJIE_000286	8.8	6.5		
contig_1	135612	135788	-	EPJJIE_000287	6.5	5.8		
contig_1	135846	136019	-	EPJJIE_000288	7.0	9.9		
contig_1	136252	136398	-	EPJJIE_000289	5.4	5.0		
contig_1	136713	136844	+	EPJJIE_000290	5.1	8.1		
contig_1	137088	137546	-	EPJJIE_000291	18.2	9.7		
contig_1	137793	137897	-	EPJJIE_000292	3.5	10.0		
contig_1	138642	138827	+	EPJJIE_000293	6.8	6.0		
contig_1	138866	139219	+	EPJJIE_000294	13.9	9.0		
contig_1	139304	139672	+	EPJJIE_000295	14.6	4.6		
contig_1	139725	139838	+	EPJJIE_000296	4.4	9.4		
contig_1	139832	140008	+	EPJJIE_000297	6.7	4.4		
contig_1	140152	140403	+	EPJJIE_000298	9.9	9.1		
contig_1	140442	140606	+	EPJJIE_000299	6.5	9.7		
contig_1	140790	140966	+	EPJJIE_000300	6.6	4.3		
contig_1	141244	141627	+	EPJJIE_000301	14.5	9.5	PF00576.27|Transthyretin	PFAM:PF00576.27
contig_1	141648	141803	+	EPJJIE_000302	6.1	9.6	PF00576.27|Transthyretin	PFAM:PF00576.27
contig_1	141910	142542	-	EPJJIE_000303	22.9	5.9		
contig_1	142560	142718	-	EPJJIE_000304	5.8	5.7		
contig_1	142897	143073	-	EPJJIE_000305	6.8	6.1		
contig_1	143022	143573	-	EPJJIE_000306	21.3	5.4		
contig_1	143809	144096	-	EPJJIE_000307	11.3	9.1		
contig_1	144042	144650	-	EPJJIE_000308	23.9	5.7	PF06452.16|CBM9_1	PFAM:PF06452.16
contig_1	144929	145210	+	EPJJIE_000309	10.8	9.3		
contig_1	145284	145496	-	EPJJIE_000310	8.1	4.5		
contig_1	145705	146040	-	EPJJIE_000311	13.0	5.3	PF22292.1|DUF6965	PFAM:PF22292.1
contig_1	146523	146756	-	EPJJIE_000312	8.6	4.9	PF01182.26|Glucosamine_iso	PFAM:PF01182.26
contig_1	146753	147118	-	EPJJIE_000313	14.1	6.6	PF01182.26|Glucosamine_iso	PFAM:PF01182.26
contig_1	147106	147594	-	EPJJIE_000314	18.3	5.1	PF02781.21|G6PD_C	PFAM:PF02781.21
contig_1	147579	147899	-	EPJJIE_000315	12.1	7.9	PF02781.21|G6PD_C	PFAM:PF02781.21
contig_1	147881	148600	-	EPJJIE_000316	27.7	6.2	PF00479.28|G6PD_N, PF02781.21|G6PD_C	PFAM:PF00479.28, PFAM:PF02781.21
contig_1	148617	148832	-	EPJJIE_000317	8.1	5.4	PF00393.24|6PGD	PFAM:PF00393.24
contig_1	148950	149693	-	EPJJIE_000318	28.1	9.6	PF00393.24|6PGD	PFAM:PF00393.24
contig_1	149659	150090	-	EPJJIE_000319	15.5	4.8	PF03446.21|NAD_binding_2	PFAM:PF03446.21
contig_1	150223	150960	+	EPJJIE_000320	26.7	9.0		
contig_1	151118	151435	+	EPJJIE_000321	11.2	5.0		
contig_1	151610	151825	-	EPJJIE_000323	7.8	4.8		
contig_1	151837	151932	-	EPJJIE_000324	3.6	8.5		
contig_1	151919	152071	-	EPJJIE_000325	5.7	10.0		
contig_1	153575	153691	+	EPJJIE_000326	4.2	4.2		
contig_1	153971	154366	-	EPJJIE_000327	14.8	8.8		
contig_1	154348	154605	-	EPJJIE_000328	9.4	7.7		
contig_1	154978	155166	-	EPJJIE_000329	6.9	9.5		
contig_1	155175	155387	-	EPJJIE_000330	8.0	8.9		
contig_1	155365	155565	-	EPJJIE_000331	7.5	5.0		
contig_1	155614	155703	+	EPJJIE_000332	3.4	9.4		
contig_1	155813	155932	-	EPJJIE_000333	4.4	7.9		
contig_1	156044	156340	-	EPJJIE_000334	11.0	6.5	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
contig_1	156416	156661	-	EPJJIE_000335	9.3	8.7		
contig_1	157022	157168	-	EPJJIE_000336	5.6	8.2		
contig_1	157165	157689	-	EPJJIE_000337	19.8	5.3		
contig_1	157649	158029	-	EPJJIE_000338	14.2	8.9	PF04321.23|RmlD_sub_bind	PFAM:PF04321.23
contig_1	158060	158356	-	EPJJIE_000339	11.2	5.5		
contig_1	158599	159189	-	EPJJIE_000340	22.6	6.3		
contig_1	159177	159386	-	EPJJIE_000341	8.2	5.5		
contig_1	159489	159878	-	EPJJIE_000342	14.2	8.5		
contig_1	159890	160123	-	EPJJIE_000343	9.0	8.8		
contig_1	160287	160595	-	EPJJIE_000344	11.4	5.5	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
contig_1	160592	161014	-	EPJJIE_000345	16.5	9.4		
contig_1	161517	161687	-	EPJJIE_000346	6.6	4.4		
contig_1	161711	161989	-	EPJJIE_000347	10.4	4.2		
contig_1	162060	162332	-	EPJJIE_000348	10.7	7.9		
contig_1	162749	162916	-	EPJJIE_000349	6.4	9.9		
contig_1	162913	163206	-	EPJJIE_000350	11.3	6.0		
contig_1	163437	163826	-	EPJJIE_000351	15.4	9.8		
contig_1	163837	164031	-	EPJJIE_000352	7.2	4.6		
contig_1	165862	166068	-	EPJJIE_000353	7.7	7.8		
contig_1	166626	166976	+	EPJJIE_000354	13.5	10.5		
contig_1	168692	168790	-	EPJJIE_000355	3.7	4.9		
contig_1	168790	168915	-	EPJJIE_000356	4.8	5.0		
contig_1	169056	169214	-	EPJJIE_000357	6.0	8.0	PF01041.23|DegT_DnrJ_EryC1	PFAM:PF01041.23
contig_1	169193	169477	-	EPJJIE_000358	10.1	8.6	PF01041.23|DegT_DnrJ_EryC1	PFAM:PF01041.23
contig_1	169443	169736	-	EPJJIE_000359	10.6	4.5	PF01041.23|DegT_DnrJ_EryC1	PFAM:PF01041.23
contig_1	169892	170164	-	EPJJIE_000360	10.1	6.0		
contig_1	170324	170506	-	EPJJIE_000361	6.9	4.1		
contig_1	170557	170706	-	EPJJIE_000362	5.6	8.8		
contig_1	170881	171402	-	EPJJIE_000363	19.8	8.9	PF02522.19|Antibiotic_NAT	PFAM:PF02522.19
contig_1	171380	171814	-	EPJJIE_000364	16.1	5.9	PF00106.31|adh_short, PF13561.12|adh_short_C2	PFAM:PF00106.31, PFAM:PF13561.12
contig_1	172112	172300	-	EPJJIE_000365	6.8	4.4	PF00550.31|PP-binding	PFAM:PF00550.31
