locus_tag	ftype	length_bp	gene	EC_number	COG	product
GAPDIIBD_00032	gene	231				
GAPDIIBD_00032	CDS	231				hypothetical protein
GAPDIIBD_00033	gene	132				
GAPDIIBD_00033	CDS	132				hypothetical protein
GAPDIIBD_00034	gene	276				
GAPDIIBD_00034	CDS	276				hypothetical protein
GAPDIIBD_00035	gene	318				
GAPDIIBD_00035	CDS	318				hypothetical protein
GAPDIIBD_00036	gene	195				
GAPDIIBD_00036	CDS	195				hypothetical protein
GAPDIIBD_00037	gene	213				
GAPDIIBD_00037	CDS	213				hypothetical protein
GAPDIIBD_00038	gene	168				
GAPDIIBD_00038	CDS	168				hypothetical protein
GAPDIIBD_00039	gene	195				
GAPDIIBD_00039	CDS	195				hypothetical protein
GAPDIIBD_00040	gene	762				
GAPDIIBD_00040	CDS	762				hypothetical protein
GAPDIIBD_00041	gene	642				
GAPDIIBD_00041	CDS	642			COG1629	TonB-dependent receptor P26
GAPDIIBD_00042	gene	558				
GAPDIIBD_00042	CDS	558				hypothetical protein
GAPDIIBD_00043	gene	441	susC_1			
GAPDIIBD_00043	CDS	441	susC_1		COG1629	TonB-dependent receptor SusC
GAPDIIBD_00044	gene	138				
GAPDIIBD_00044	CDS	138				hypothetical protein
GAPDIIBD_00045	gene	168				
GAPDIIBD_00045	CDS	168				hypothetical protein
GAPDIIBD_00046	gene	438				
GAPDIIBD_00046	CDS	438			COG4771	TonB-dependent receptor P3
GAPDIIBD_00047	gene	168				
GAPDIIBD_00047	CDS	168				hypothetical protein
GAPDIIBD_00048	gene	1329				
GAPDIIBD_00048	CDS	1329				hypothetical protein
GAPDIIBD_00049	gene	501				
GAPDIIBD_00049	CDS	501				hypothetical protein
GAPDIIBD_00050	gene	120				
GAPDIIBD_00050	CDS	120				hypothetical protein
GAPDIIBD_00051	gene	675				
GAPDIIBD_00051	CDS	675				hypothetical protein
GAPDIIBD_00052	gene	279				
GAPDIIBD_00052	CDS	279				hypothetical protein
GAPDIIBD_00053	gene	1077	cbh			
GAPDIIBD_00053	CDS	1077	cbh	2.3.1.-		Bile salt hydrolase/transferase
GAPDIIBD_00054	gene	186				
GAPDIIBD_00054	CDS	186				hypothetical protein
GAPDIIBD_00055	gene	354				
GAPDIIBD_00055	CDS	354				hypothetical protein
GAPDIIBD_00056	gene	324				
GAPDIIBD_00056	CDS	324				hypothetical protein
GAPDIIBD_00057	gene	390				
GAPDIIBD_00057	CDS	390				hypothetical protein
GAPDIIBD_00058	gene	384				
GAPDIIBD_00058	CDS	384				hypothetical protein
GAPDIIBD_00059	gene	216				
GAPDIIBD_00059	CDS	216				hypothetical protein
GAPDIIBD_00060	gene	165				
GAPDIIBD_00060	CDS	165				hypothetical protein
GAPDIIBD_00061	gene	189				
GAPDIIBD_00061	CDS	189				hypothetical protein
GAPDIIBD_00062	gene	168				
GAPDIIBD_00062	CDS	168				hypothetical protein
GAPDIIBD_00063	gene	480				
GAPDIIBD_00063	CDS	480				hypothetical protein
GAPDIIBD_00064	gene	255				
GAPDIIBD_00064	CDS	255				hypothetical protein
GAPDIIBD_00065	gene	723				
GAPDIIBD_00065	CDS	723				hypothetical protein
GAPDIIBD_00066	gene	228				
GAPDIIBD_00066	CDS	228				hypothetical protein
GAPDIIBD_00067	gene	153				
GAPDIIBD_00067	CDS	153				hypothetical protein
GAPDIIBD_00068	gene	282				
GAPDIIBD_00068	CDS	282				hypothetical protein
GAPDIIBD_00069	gene	435				
GAPDIIBD_00069	CDS	435				hypothetical protein
GAPDIIBD_00070	gene	225				
GAPDIIBD_00070	CDS	225				hypothetical protein
GAPDIIBD_00071	gene	255				
GAPDIIBD_00071	CDS	255				hypothetical protein
GAPDIIBD_00072	gene	267				
GAPDIIBD_00072	CDS	267				hypothetical protein
GAPDIIBD_00073	gene	183				
GAPDIIBD_00073	CDS	183				hypothetical protein
GAPDIIBD_00074	gene	588				
GAPDIIBD_00074	CDS	588				hypothetical protein
GAPDIIBD_00075	gene	192				
GAPDIIBD_00075	CDS	192				hypothetical protein
GAPDIIBD_00076	gene	141				
GAPDIIBD_00076	CDS	141				hypothetical protein
GAPDIIBD_00077	gene	111				
GAPDIIBD_00077	CDS	111				hypothetical protein
GAPDIIBD_00078	gene	282				
GAPDIIBD_00078	CDS	282				hypothetical protein
GAPDIIBD_00079	gene	858				
GAPDIIBD_00079	CDS	858				hypothetical protein
GAPDIIBD_00080	gene	513				
GAPDIIBD_00080	CDS	513				hypothetical protein
GAPDIIBD_00081	gene	345				
GAPDIIBD_00081	CDS	345				hypothetical protein
GAPDIIBD_00082	gene	186				
GAPDIIBD_00082	CDS	186				hypothetical protein
GAPDIIBD_00083	gene	210				
GAPDIIBD_00083	CDS	210				hypothetical protein
GAPDIIBD_00084	gene	318				
GAPDIIBD_00084	CDS	318				hypothetical protein
GAPDIIBD_00085	gene	234				
GAPDIIBD_00085	CDS	234				hypothetical protein
GAPDIIBD_00086	gene	645				
GAPDIIBD_00086	CDS	645				hypothetical protein
GAPDIIBD_00087	gene	222				
GAPDIIBD_00087	CDS	222				hypothetical protein
GAPDIIBD_00088	gene	621				
GAPDIIBD_00088	CDS	621				hypothetical protein
GAPDIIBD_00089	gene	222				
GAPDIIBD_00089	CDS	222				hypothetical protein
GAPDIIBD_00090	gene	588				
GAPDIIBD_00090	CDS	588				hypothetical protein
GAPDIIBD_00091	gene	801				
GAPDIIBD_00091	CDS	801				hypothetical protein
GAPDIIBD_00092	gene	306				
GAPDIIBD_00092	CDS	306				hypothetical protein
GAPDIIBD_00093	gene	339				
GAPDIIBD_00093	CDS	339				hypothetical protein
GAPDIIBD_00094	gene	246				
GAPDIIBD_00094	CDS	246				hypothetical protein
GAPDIIBD_00095	gene	456				
GAPDIIBD_00095	CDS	456				hypothetical protein
GAPDIIBD_00096	gene	357				
GAPDIIBD_00096	CDS	357				hypothetical protein
GAPDIIBD_00097	gene	249				
GAPDIIBD_00097	CDS	249				hypothetical protein
GAPDIIBD_00098	gene	576				
GAPDIIBD_00098	CDS	576				hypothetical protein
GAPDIIBD_00099	gene	372				
GAPDIIBD_00099	CDS	372				hypothetical protein
GAPDIIBD_00100	gene	678				
GAPDIIBD_00100	CDS	678				hypothetical protein
GAPDIIBD_00101	gene	375				
GAPDIIBD_00101	CDS	375				hypothetical protein
GAPDIIBD_00102	gene	249				
GAPDIIBD_00102	CDS	249				hypothetical protein
GAPDIIBD_00103	gene	210				
GAPDIIBD_00103	CDS	210				hypothetical protein
GAPDIIBD_00104	gene	303				
GAPDIIBD_00104	CDS	303				hypothetical protein
GAPDIIBD_00105	gene	276				
GAPDIIBD_00105	CDS	276				hypothetical protein
GAPDIIBD_00106	gene	279				
GAPDIIBD_00106	CDS	279				hypothetical protein
GAPDIIBD_00107	gene	435				
GAPDIIBD_00107	CDS	435				hypothetical protein
GAPDIIBD_00108	gene	207				
GAPDIIBD_00108	CDS	207				hypothetical protein
GAPDIIBD_00109	gene	279				
GAPDIIBD_00109	CDS	279				hypothetical protein
GAPDIIBD_00110	gene	252				
GAPDIIBD_00110	CDS	252				hypothetical protein
GAPDIIBD_00111	gene	282				
GAPDIIBD_00111	CDS	282				hypothetical protein
GAPDIIBD_00112	gene	345				
GAPDIIBD_00112	CDS	345				hypothetical protein
GAPDIIBD_00113	gene	390				
GAPDIIBD_00113	CDS	390				hypothetical protein
GAPDIIBD_00114	gene	105				
GAPDIIBD_00114	CDS	105				hypothetical protein
GAPDIIBD_00115	gene	117				
GAPDIIBD_00115	CDS	117				hypothetical protein
GAPDIIBD_00116	gene	477				
GAPDIIBD_00116	CDS	477				hypothetical protein
GAPDIIBD_00117	gene	264				
GAPDIIBD_00117	CDS	264				hypothetical protein
GAPDIIBD_00118	gene	180				
GAPDIIBD_00118	CDS	180				hypothetical protein
GAPDIIBD_00119	gene	333				
GAPDIIBD_00119	CDS	333				hypothetical protein
GAPDIIBD_00120	gene	435				
GAPDIIBD_00120	CDS	435				hypothetical protein
GAPDIIBD_00121	gene	399				
GAPDIIBD_00121	CDS	399				hypothetical protein
GAPDIIBD_00122	gene	573				
GAPDIIBD_00122	CDS	573				hypothetical protein
GAPDIIBD_00123	gene	408				
GAPDIIBD_00123	CDS	408				hypothetical protein
GAPDIIBD_00124	gene	375				
GAPDIIBD_00124	CDS	375				hypothetical protein
GAPDIIBD_00125	gene	207				
GAPDIIBD_00125	CDS	207				hypothetical protein
GAPDIIBD_00126	gene	180				
GAPDIIBD_00126	CDS	180				hypothetical protein
GAPDIIBD_00127	gene	147				
GAPDIIBD_00127	CDS	147				hypothetical protein
GAPDIIBD_00128	gene	165				
GAPDIIBD_00128	CDS	165				hypothetical protein
GAPDIIBD_00129	gene	207				
GAPDIIBD_00129	CDS	207				hypothetical protein
GAPDIIBD_00130	gene	210				
GAPDIIBD_00130	CDS	210				hypothetical protein
GAPDIIBD_00131	gene	699				
GAPDIIBD_00131	CDS	699				hypothetical protein
GAPDIIBD_00132	gene	174				
GAPDIIBD_00132	CDS	174				hypothetical protein
GAPDIIBD_00133	gene	204				
GAPDIIBD_00133	CDS	204				hypothetical protein
GAPDIIBD_00134	gene	942				
GAPDIIBD_00134	CDS	942				hypothetical protein
GAPDIIBD_00135	gene	711				
GAPDIIBD_00135	CDS	711				Putative fimbrium tip subunit Fim1C
GAPDIIBD_00136	gene	321				
GAPDIIBD_00136	CDS	321				hypothetical protein
GAPDIIBD_00137	gene	300				
GAPDIIBD_00137	CDS	300				hypothetical protein
GAPDIIBD_00138	gene	201				
GAPDIIBD_00138	CDS	201				hypothetical protein
GAPDIIBD_00139	gene	360				
GAPDIIBD_00139	CDS	360				hypothetical protein
GAPDIIBD_00140	gene	600				
GAPDIIBD_00140	CDS	600				hypothetical protein
GAPDIIBD_00141	gene	255				
GAPDIIBD_00141	CDS	255				hypothetical protein
GAPDIIBD_00142	gene	318				
GAPDIIBD_00142	CDS	318				hypothetical protein
GAPDIIBD_00143	gene	288				
GAPDIIBD_00143	CDS	288				hypothetical protein
GAPDIIBD_00144	gene	213				
GAPDIIBD_00144	CDS	213				hypothetical protein
GAPDIIBD_00145	gene	693				
GAPDIIBD_00145	CDS	693				hypothetical protein
GAPDIIBD_00146	gene	243				
GAPDIIBD_00146	CDS	243				hypothetical protein
GAPDIIBD_00147	gene	741				
GAPDIIBD_00147	CDS	741				hypothetical protein
GAPDIIBD_00148	gene	855				
GAPDIIBD_00148	CDS	855				hypothetical protein
GAPDIIBD_00149	gene	123				
GAPDIIBD_00149	CDS	123				hypothetical protein
GAPDIIBD_00150	gene	249				
GAPDIIBD_00150	CDS	249				hypothetical protein
GAPDIIBD_00151	gene	168				
GAPDIIBD_00151	CDS	168				hypothetical protein
GAPDIIBD_00152	gene	240				
GAPDIIBD_00152	CDS	240				hypothetical protein
GAPDIIBD_00153	gene	357	nrdB			
GAPDIIBD_00153	CDS	357	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
GAPDIIBD_00154	gene	471				
GAPDIIBD_00154	CDS	471				hypothetical protein
GAPDIIBD_00155	gene	423	nrdA_1			
GAPDIIBD_00155	CDS	423	nrdA_1	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
GAPDIIBD_00156	gene	258				
GAPDIIBD_00156	CDS	258				hypothetical protein
GAPDIIBD_00157	gene	186				
GAPDIIBD_00157	CDS	186				hypothetical protein
GAPDIIBD_00158	gene	186				
GAPDIIBD_00158	CDS	186				hypothetical protein
GAPDIIBD_00159	gene	549	nrdA_2			
GAPDIIBD_00159	CDS	549	nrdA_2	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
GAPDIIBD_00160	gene	162				
GAPDIIBD_00160	CDS	162				hypothetical protein
GAPDIIBD_00161	gene	279				
GAPDIIBD_00161	CDS	279				hypothetical protein
GAPDIIBD_00162	gene	306				
GAPDIIBD_00162	CDS	306				hypothetical protein
GAPDIIBD_00163	gene	474				
GAPDIIBD_00163	CDS	474				hypothetical protein
GAPDIIBD_00164	gene	474				
GAPDIIBD_00164	CDS	474				hypothetical protein
GAPDIIBD_00165	gene	537				
GAPDIIBD_00165	CDS	537				hypothetical protein
GAPDIIBD_00166	gene	237				
GAPDIIBD_00166	CDS	237				hypothetical protein
GAPDIIBD_00167	gene	126				
GAPDIIBD_00167	CDS	126				hypothetical protein
GAPDIIBD_00168	gene	1107	schE			
GAPDIIBD_00168	CDS	1107	schE		COG2814	Schizokinen exporter SchE
GAPDIIBD_00169	gene	612	hemN_1			
GAPDIIBD_00169	CDS	612	hemN_1	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
GAPDIIBD_00170	gene	240	hemN_2			
GAPDIIBD_00170	CDS	240	hemN_2	1.3.98.3		Oxygen-independent coproporphyrinogen III oxidase
GAPDIIBD_00171	gene	408	hemN_3			
GAPDIIBD_00171	CDS	408	hemN_3	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
GAPDIIBD_00172	gene	654	pgoX			
GAPDIIBD_00172	CDS	654	pgoX	1.3.3.4		Protoporphyrinogen oxidase
GAPDIIBD_00173	gene	324				
GAPDIIBD_00173	CDS	324				hypothetical protein
GAPDIIBD_00174	gene	168				
GAPDIIBD_00174	CDS	168				hypothetical protein
GAPDIIBD_00175	gene	177				
GAPDIIBD_00175	CDS	177				hypothetical protein
GAPDIIBD_00176	gene	225				
GAPDIIBD_00176	CDS	225				hypothetical protein
GAPDIIBD_00177	gene	246				
GAPDIIBD_00177	CDS	246				hypothetical protein
GAPDIIBD_00178	gene	270				
GAPDIIBD_00178	CDS	270				hypothetical protein
GAPDIIBD_00179	gene	432				
GAPDIIBD_00179	CDS	432				hypothetical protein
GAPDIIBD_00180	gene	144				
GAPDIIBD_00180	CDS	144				hypothetical protein
GAPDIIBD_00181	gene	969				
GAPDIIBD_00181	CDS	969				hypothetical protein
GAPDIIBD_00182	gene	213				
GAPDIIBD_00182	CDS	213				hypothetical protein
GAPDIIBD_00183	gene	132				
GAPDIIBD_00183	CDS	132				hypothetical protein
GAPDIIBD_00184	gene	411				
GAPDIIBD_00184	CDS	411				hypothetical protein
GAPDIIBD_00185	gene	174				
GAPDIIBD_00185	CDS	174				hypothetical protein
GAPDIIBD_00186	gene	198				
GAPDIIBD_00186	CDS	198				hypothetical protein
GAPDIIBD_00187	gene	663				
GAPDIIBD_00187	CDS	663				hypothetical protein
GAPDIIBD_00188	gene	453				
GAPDIIBD_00188	CDS	453				hypothetical protein
GAPDIIBD_00189	gene	165				
GAPDIIBD_00189	CDS	165				hypothetical protein
GAPDIIBD_00190	gene	396				
GAPDIIBD_00190	CDS	396				hypothetical protein
GAPDIIBD_00191	gene	336				
GAPDIIBD_00191	CDS	336				hypothetical protein
GAPDIIBD_00192	gene	330				
GAPDIIBD_00192	CDS	330				hypothetical protein
GAPDIIBD_00193	gene	333				
GAPDIIBD_00193	CDS	333				hypothetical protein
GAPDIIBD_00194	gene	291				
GAPDIIBD_00194	CDS	291				hypothetical protein
GAPDIIBD_00195	gene	531				
GAPDIIBD_00195	CDS	531				hypothetical protein
GAPDIIBD_00196	gene	1230				
GAPDIIBD_00196	CDS	1230				hypothetical protein
GAPDIIBD_00197	gene	261				
GAPDIIBD_00197	CDS	261				hypothetical protein
GAPDIIBD_00198	gene	114				
GAPDIIBD_00198	CDS	114				hypothetical protein
GAPDIIBD_00199	gene	180				
GAPDIIBD_00199	CDS	180				hypothetical protein
GAPDIIBD_00200	gene	222	mtgA_1			
GAPDIIBD_00200	CDS	222	mtgA_1	2.4.99.28		Biosynthetic peptidoglycan transglycosylase
GAPDIIBD_00201	gene	288	mtgA_2			
GAPDIIBD_00201	CDS	288	mtgA_2	2.4.99.28		Biosynthetic peptidoglycan transglycosylase
GAPDIIBD_00202	gene	642				
GAPDIIBD_00202	CDS	642				hypothetical protein
GAPDIIBD_00203	gene	375				
GAPDIIBD_00203	CDS	375				hypothetical protein
GAPDIIBD_00204	gene	636				
GAPDIIBD_00204	CDS	636				hypothetical protein
GAPDIIBD_00205	gene	123				
GAPDIIBD_00205	CDS	123				hypothetical protein
GAPDIIBD_00206	gene	522				
GAPDIIBD_00206	CDS	522				hypothetical protein
GAPDIIBD_00207	gene	735				
GAPDIIBD_00207	CDS	735				hypothetical protein
GAPDIIBD_00208	gene	270				
GAPDIIBD_00208	CDS	270				hypothetical protein
GAPDIIBD_00209	gene	99				
GAPDIIBD_00209	CDS	99				hypothetical protein
GAPDIIBD_00210	gene	258				
GAPDIIBD_00210	CDS	258				hypothetical protein
GAPDIIBD_00211	gene	219				
GAPDIIBD_00211	CDS	219				hypothetical protein
GAPDIIBD_00212	gene	180				
GAPDIIBD_00212	CDS	180				hypothetical protein
GAPDIIBD_00213	gene	318				
GAPDIIBD_00213	CDS	318				hypothetical protein
GAPDIIBD_00214	gene	492	susC_2			
GAPDIIBD_00214	CDS	492	susC_2		COG1629	TonB-dependent receptor SusC
GAPDIIBD_00215	gene	243				
GAPDIIBD_00215	CDS	243				hypothetical protein
GAPDIIBD_00216	gene	801				
GAPDIIBD_00216	CDS	801				hypothetical protein
GAPDIIBD_00217	gene	201				
GAPDIIBD_00217	CDS	201		2.1.3.1		Methylmalonyl-CoA carboxyltransferase 5S subunit
GAPDIIBD_00218	gene	306				
GAPDIIBD_00218	CDS	306				hypothetical protein
GAPDIIBD_00219	gene	489	sigH_1			
GAPDIIBD_00219	CDS	489	sigH_1		COG1595	ECF RNA polymerase sigma factor SigH
GAPDIIBD_00220	gene	300				
GAPDIIBD_00220	CDS	300				hypothetical protein
GAPDIIBD_00221	gene	252	lemA_1			
GAPDIIBD_00221	CDS	252	lemA_1		COG1704	Protein LemA
GAPDIIBD_00222	gene	321				
GAPDIIBD_00222	CDS	321				hypothetical protein
GAPDIIBD_00223	gene	216	htpX_1			
GAPDIIBD_00223	CDS	216	htpX_1	3.4.24.-	COG0501	Protease HtpX 
GAPDIIBD_00224	gene	327	htpX_2			
GAPDIIBD_00224	CDS	327	htpX_2	3.4.24.-	COG0501	Protease HtpX 
GAPDIIBD_00225	gene	495				
GAPDIIBD_00225	CDS	495				hypothetical protein
GAPDIIBD_00226	gene	573				
GAPDIIBD_00226	CDS	573				hypothetical protein
GAPDIIBD_00227	gene	1272	wecB_1			
GAPDIIBD_00227	CDS	1272	wecB_1	5.1.3.14		UDP-N-acetylglucosamine 2-epimerase
GAPDIIBD_00228	gene	363				
GAPDIIBD_00228	CDS	363				hypothetical protein
GAPDIIBD_00229	gene	318				
GAPDIIBD_00229	CDS	318				hypothetical protein
GAPDIIBD_00230	gene	342				
GAPDIIBD_00230	CDS	342				hypothetical protein
GAPDIIBD_00231	gene	189				
GAPDIIBD_00231	CDS	189				hypothetical protein
GAPDIIBD_00232	gene	981				
GAPDIIBD_00232	CDS	981				hypothetical protein
GAPDIIBD_00233	gene	351				
GAPDIIBD_00233	CDS	351				hypothetical protein
GAPDIIBD_00234	gene	420				
GAPDIIBD_00234	CDS	420		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
GAPDIIBD_00235	gene	207	lacZ_1			
GAPDIIBD_00235	CDS	207	lacZ_1	3.2.1.23		Beta-galactosidase
GAPDIIBD_00236	gene	942				
GAPDIIBD_00236	CDS	942				hypothetical protein
GAPDIIBD_00237	gene	429				
GAPDIIBD_00237	CDS	429				hypothetical protein
GAPDIIBD_00238	gene	177				
GAPDIIBD_00238	CDS	177				hypothetical protein
GAPDIIBD_00239	gene	174	rarA_1			
GAPDIIBD_00239	CDS	174	rarA_1		COG2256	Replication-associated recombination protein A
GAPDIIBD_00240	gene	252	rarA_2			
GAPDIIBD_00240	CDS	252	rarA_2		COG2256	Replication-associated recombination protein A
GAPDIIBD_00241	gene	723	rarA_3			
GAPDIIBD_00241	CDS	723	rarA_3	3.6.4.-	COG2256	Replication-associated recombination protein A
GAPDIIBD_00242	gene	333	hpr_1			
GAPDIIBD_00242	CDS	333	hpr_1	1.1.1.81	COG1052	Hydroxypyruvate reductase
GAPDIIBD_00243	gene	573	hpr_2			
GAPDIIBD_00243	CDS	573	hpr_2	1.1.1.81	COG1052	Hydroxypyruvate reductase
GAPDIIBD_00244	gene	189				
GAPDIIBD_00244	CDS	189				hypothetical protein
GAPDIIBD_00245	gene	249				
GAPDIIBD_00245	CDS	249				hypothetical protein
GAPDIIBD_00246	gene	126				
GAPDIIBD_00246	CDS	126				hypothetical protein
GAPDIIBD_00247	gene	180				
GAPDIIBD_00247	CDS	180				hypothetical protein
GAPDIIBD_00248	gene	294				
GAPDIIBD_00248	CDS	294				hypothetical protein
GAPDIIBD_00249	gene	240				
GAPDIIBD_00249	CDS	240				hypothetical protein
GAPDIIBD_00250	gene	327				
GAPDIIBD_00250	CDS	327				hypothetical protein
GAPDIIBD_00251	gene	423				
GAPDIIBD_00251	CDS	423				hypothetical protein
GAPDIIBD_00252	gene	285				
GAPDIIBD_00252	CDS	285				hypothetical protein
GAPDIIBD_00253	gene	327				
GAPDIIBD_00253	CDS	327				hypothetical protein
GAPDIIBD_00254	gene	192				
GAPDIIBD_00254	CDS	192				hypothetical protein
GAPDIIBD_00255	gene	159				
GAPDIIBD_00255	CDS	159				hypothetical protein
GAPDIIBD_00256	gene	306				
GAPDIIBD_00256	CDS	306				hypothetical protein
GAPDIIBD_00257	gene	180				
GAPDIIBD_00257	CDS	180				hypothetical protein
GAPDIIBD_00258	gene	537				
GAPDIIBD_00258	CDS	537				hypothetical protein
GAPDIIBD_00259	gene	672				
GAPDIIBD_00259	CDS	672				hypothetical protein
GAPDIIBD_00260	gene	240	yehF			
GAPDIIBD_00260	CDS	240	yehF			Protein YehF
GAPDIIBD_00261	gene	507				
GAPDIIBD_00261	CDS	507				hypothetical protein
GAPDIIBD_00262	gene	147				
GAPDIIBD_00262	CDS	147				hypothetical protein
GAPDIIBD_00263	gene	252				
GAPDIIBD_00263	CDS	252				hypothetical protein
GAPDIIBD_00264	gene	201				
GAPDIIBD_00264	CDS	201				hypothetical protein
GAPDIIBD_00265	gene	501				
GAPDIIBD_00265	CDS	501				hypothetical protein
GAPDIIBD_00266	gene	714	cydA_1			
GAPDIIBD_00266	CDS	714	cydA_1	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
GAPDIIBD_00267	gene	147	cydA_2			
GAPDIIBD_00267	CDS	147	cydA_2	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
GAPDIIBD_00268	gene	150				
GAPDIIBD_00268	CDS	150				hypothetical protein
GAPDIIBD_00269	gene	198				
GAPDIIBD_00269	CDS	198				hypothetical protein
GAPDIIBD_00270	gene	204				
GAPDIIBD_00270	CDS	204				hypothetical protein
GAPDIIBD_00271	gene	552				
GAPDIIBD_00271	CDS	552				hypothetical protein
GAPDIIBD_00272	gene	474				
GAPDIIBD_00272	CDS	474				hypothetical protein
GAPDIIBD_00273	gene	948				
GAPDIIBD_00273	CDS	948				hypothetical protein
GAPDIIBD_00274	gene	291				
GAPDIIBD_00274	CDS	291				hypothetical protein
GAPDIIBD_00275	gene	474				
GAPDIIBD_00275	CDS	474				hypothetical protein
GAPDIIBD_00276	gene	414	pvdR			
GAPDIIBD_00276	CDS	414	pvdR		COG0845	Pyoverdine export membrane fusion protein PvdR
GAPDIIBD_00277	gene	264				
GAPDIIBD_00277	CDS	264				hypothetical protein
GAPDIIBD_00278	gene	753	uup_1			
GAPDIIBD_00278	CDS	753	uup_1	3.6.1.-		ATP-binding protein Uup
GAPDIIBD_00279	gene	558	macB_1			
GAPDIIBD_00279	CDS	558	macB_1	7.6.2.-		Macrolide export ATP-binding/permease protein MacB
GAPDIIBD_00280	gene	378	macB_2			
GAPDIIBD_00280	CDS	378	macB_2	7.6.2.-		Macrolide export ATP-binding/permease protein MacB
GAPDIIBD_00281	gene	270	macB_3			
GAPDIIBD_00281	CDS	270	macB_3	7.6.2.-		Macrolide export ATP-binding/permease protein MacB
GAPDIIBD_00282	gene	411				
GAPDIIBD_00282	CDS	411				hypothetical protein
GAPDIIBD_00283	gene	375				
GAPDIIBD_00283	CDS	375				hypothetical protein
GAPDIIBD_00284	gene	198				
GAPDIIBD_00284	CDS	198				hypothetical protein
GAPDIIBD_00285	gene	246				
GAPDIIBD_00285	CDS	246				hypothetical protein
GAPDIIBD_00286	gene	177				
GAPDIIBD_00286	CDS	177				hypothetical protein
GAPDIIBD_00287	gene	174				
GAPDIIBD_00287	CDS	174				hypothetical protein
GAPDIIBD_00288	gene	147				
GAPDIIBD_00288	CDS	147				hypothetical protein
GAPDIIBD_00289	gene	132				
GAPDIIBD_00289	CDS	132				hypothetical protein
GAPDIIBD_00290	gene	459				
GAPDIIBD_00290	CDS	459				hypothetical protein
GAPDIIBD_00291	gene	105				
GAPDIIBD_00291	CDS	105				hypothetical protein
GAPDIIBD_00292	gene	186				
GAPDIIBD_00292	CDS	186				hypothetical protein
GAPDIIBD_00293	gene	354				
GAPDIIBD_00293	CDS	354				hypothetical protein
